[1, 20, 20, 1] [10, 5, 5, 10] [110, 205, 205, 110]
[2, 2, 3, 2] [8, 4, 6, 8] [28, 24, 36, 28]
[2, 2, 4, 4] [4, 4, 8, 8] [24, 24, 48, 48]
[2, 2, 6, 3] [8, 2, 6, 9] [28, 22, 66, 39]
[2, 2, 7, 5] [6, 2, 7, 9] [26, 22, 77, 59]
[2, 2, 8, 7] [4, 2, 8, 9] [24, 22, 88, 79]
[2, 2, 9, 9] [2, 2, 9, 9] [22, 22, 99, 99]
[2, 3, 2, 2] [8, 6, 4, 8] [28, 36, 24, 28]
[2, 3, 3, 5] [2, 6, 6, 8] [22, 36, 36, 58]
[2, 3, 4, 3] [8, 3, 4, 9] [28, 33, 44, 39]
[2, 3, 5, 6] [5, 3, 5, 9] [25, 33, 55, 69]
[2, 3, 6, 9] [2, 3, 6, 9] [22, 33, 66, 99]
[2, 4, 2, 4] [4, 8, 4, 8] [24, 48, 24, 48]
[2, 4, 3, 3] [8, 4, 3, 9] [28, 44, 33, 39]
[2, 4, 4, 7] [4, 4, 4, 9] [24, 44, 44, 79]
[2, 5, 3, 6] [5, 5, 3, 9] [25, 55, 33, 69]
[2, 6, 2, 3] [8, 6, 2, 9] [28, 66, 22, 39]
[2, 6, 3, 9] [2, 6, 3, 9] [22, 66, 33, 99]
[2, 7, 2, 5] [6, 7, 2, 9] [26, 77, 22, 59]
[2, 8, 2, 7] [4, 8, 2, 9] [24, 88, 22, 79]
[2, 9, 2, 9] [2, 9, 2, 9] [22, 99, 22, 99]
[2, 9, 2, 9] [20, 9, 20, 9] [220, 99, 220, 99]
[3, 2, 6, 2] [9, 2, 6, 8] [39, 22, 66, 28]
[3, 2, 7, 3] [8, 2, 7, 8] [38, 22, 77, 38]
[3, 2, 8, 4] [7, 2, 8, 8] [37, 22, 88, 48]
[3, 2, 9, 5] [6, 2, 9, 8] [36, 22, 99, 58]
[3, 2, 12, 3] [9, 1, 6, 9] [39, 21, 126, 39]
[3, 2, 14, 5] [8, 1, 7, 9] [38, 21, 147, 59]
[3, 2, 16, 7] [7, 1, 8, 9] [37, 21, 168, 79]
[3, 2, 18, 9] [6, 1, 9, 9] [36, 21, 189, 99]
[3, 3, 3, 3] [6, 6, 6, 6] [36, 36, 36, 36]
[3, 3, 4, 2] [9, 3, 4, 8] [39, 33, 44, 28]
[3, 3, 6, 5] [6, 3, 6, 8] [36, 33, 66, 58]
[3, 3, 8, 8] [3, 3, 8, 8] [33, 33, 88, 88]
[3, 4, 3, 2] [9, 4, 3, 8] [39, 44, 33, 28]
[3, 4, 4, 4] [7, 4, 4, 8] [37, 44, 44, 48]
[3, 4, 5, 6] [5, 4, 5, 8] [35, 44, 55, 68]
[3, 4, 6, 3] [9, 2, 3, 9] [39, 42, 63, 39]
[3, 4, 6, 8] [3, 4, 6, 8] [33, 44, 66, 88]
[3, 4, 7, 10] [1, 4, 7, 8] [31, 44, 77, 108]
[3, 4, 8, 7] [7, 2, 4, 9] [37, 42, 84, 79]
[3, 4, 10, 11] [5, 2, 5, 9] [35, 42, 105, 119]
[3, 4, 12, 15] [3, 2, 6, 9] [33, 42, 126, 159]
[3, 4, 14, 19] [1, 2, 7, 9] [31, 42, 147, 199]
[3, 5, 4, 6] [5, 5, 4, 8] [35, 55, 44, 68]
[3, 6, 2, 2] [9, 6, 2, 8] [39, 66, 22, 28]
[3, 6, 3, 5] [6, 6, 3, 8] [36, 66, 33, 58]
[3, 6, 4, 3] [9, 3, 2, 9] [39, 63, 42, 39]
[3, 6, 4, 8] [3, 6, 4, 8] [33, 66, 44, 88]
[3, 6, 6, 9] [6, 3, 3, 9] [36, 63, 63, 99]
[3, 6, 8, 15] [3, 3, 4, 9] [33, 63, 84, 159]
[3, 7, 2, 3] [8, 7, 2, 8] [38, 77, 22, 38]
[3, 7, 4, 10] [1, 7, 4, 8] [31, 77, 44, 108]
[3, 8, 2, 4] [7, 8, 2, 8] [37, 88, 22, 48]
[3, 8, 3, 8] [3, 8, 3, 8] [33, 88, 33, 88]
[3, 8, 4, 7] [7, 4, 2, 9] [37, 84, 42, 79]
[3, 8, 6, 15] [3, 4, 3, 9] [33, 84, 63, 159]
[3, 9, 2, 5] [6, 9, 2, 8] [36, 99, 22, 58]
[3, 10, 4, 11] [5, 5, 2, 9] [35, 105, 42, 119]
[3, 12, 2, 3] [9, 6, 1, 9] [39, 126, 21, 39]
[3, 12, 4, 15] [3, 6, 2, 9] [33, 126, 42, 159]
[3, 14, 2, 5] [8, 7, 1, 9] [38, 147, 21, 59]
[3, 14, 4, 19] [1, 7, 2, 9] [31, 147, 42, 199]
[3, 14, 4, 19] [10, 7, 20, 9] [310, 147, 420, 199]
[3, 16, 2, 7] [7, 8, 1, 9] [37, 168, 21, 79]
[3, 18, 2, 9] [6, 9, 1, 9] [36, 189, 21, 99]
[3, 18, 3, 18] [15, 9, 15, 9] [315, 189, 315, 189]
[4, 2, 4, 2] [8, 4, 8, 4] [48, 24, 48, 24]
[4, 2, 8, 3] [8, 2, 8, 7] [48, 22, 88, 37]
[4, 4, 2, 2] [8, 8, 4, 4] [48, 48, 24, 24]
[4, 4, 4, 3] [8, 4, 4, 7] [48, 44, 44, 37]
[4, 4, 7, 7] [4, 4, 7, 7] [44, 44, 77, 77]
[4, 5, 5, 6] [5, 5, 5, 7] [45, 55, 55, 67]
[4, 7, 4, 7] [4, 7, 4, 7] [44, 77, 44, 77]
[4, 8, 2, 3] [8, 8, 2, 7] [48, 88, 22, 37]
[5, 2, 7, 2] [9, 2, 7, 6] [59, 22, 77, 26]
[5, 2, 9, 3] [8, 2, 9, 6] [58, 22, 99, 36]
[5, 2, 14, 3] [9, 1, 7, 8] [59, 21, 147, 38]
[5, 2, 18, 5] [8, 1, 9, 8] [58, 21, 189, 58]
[5, 3, 3, 2] [8, 6, 6, 2] [58, 36, 36, 22]
