,PairID,Matrix,EigenResult1,EigenResult2,EigenResult3
1,0,"Matrix([[1, 1, 1], [1, 1, 1], [9, 9, 9]])","[0,Matrix([[-1],[1],[0]])]","[0,Matrix([[-1],[0],[1]])]","[11,Matrix([[1/9],[1/9],[1]])]"
2,0,"Matrix([[1, 1, 1], [1, 1, 1], [9, 9, 9]])","[0,Matrix([[-1],[1],[0]])]","[0,Matrix([[-1],[0],[1]])]","[11,Matrix([[1/9],[1/9],[1]])]"
3,1,"Matrix([[1, 1, 1], [2, 1, 2], [8, 9, 8]])","[0,Matrix([[-1],[0],[1]])]","[-1,Matrix([[0],[-1],[1]])]","[11,Matrix([[6/49],[11/49],[1]])]"
4,1,"Matrix([[1, 1, 1], [1, 6, 1], [9, 4, 9]])","[0,Matrix([[-1],[0],[1]])]","[5,Matrix([[0],[-1],[1]])]","[11,Matrix([[6/49],[11/49],[1]])]"
5,2,"Matrix([[1, 1, 1], [5, 1, 5], [5, 9, 5]])","[0,Matrix([[-1],[0],[1]])]","[-4,Matrix([[0],[-1],[1]])]","[11,Matrix([[3/19],[11/19],[1]])]"
6,2,"Matrix([[1, 1, 1], [1, 9, 1], [9, 1, 9]])","[0,Matrix([[-1],[0],[1]])]","[8,Matrix([[0],[-1],[1]])]","[11,Matrix([[3/19],[11/19],[1]])]"
7,3,"Matrix([[1, 1, 1], [1, 1, 1], [8, 9, 8]])","[0,Matrix([[-1],[0],[1]])]","[5-sqrt(26),Matrix([[-sqrt(26)/17-3/17],[-sqrt(26)/17-3/17],[1]])]","[5+sqrt(26),Matrix([[-3/17+sqrt(26)/17],[-3/17+sqrt(26)/17],[1]])]"
8,3,"Matrix([[1, 2, 1], [1, 2, 1], [9, 8, 9]])","[0,Matrix([[-1],[0],[1]])]","[6-sqrt(26),Matrix([[-sqrt(26)/17-3/17],[-sqrt(26)/17-3/17],[1]])]","[sqrt(26)+6,Matrix([[-3/17+sqrt(26)/17],[-3/17+sqrt(26)/17],[1]])]"
9,4,"Matrix([[1, 1, 1], [2, 1, 2], [6, 9, 6]])","[0,Matrix([[-1],[0],[1]])]","[4-sqrt(29),Matrix([[1/42-sqrt(29)/42],[-2*sqrt(29)/21-5/21],[1]])]","[4+sqrt(29),Matrix([[1/42+sqrt(29)/42],[-5/21+2*sqrt(29)/21],[1]])]"
10,4,"Matrix([[1, 2, 1], [1, 7, 1], [9, 3, 9]])","[0,Matrix([[-1],[0],[1]])]","[17/2-sqrt(29)/2,Matrix([[1/42-sqrt(29)/42],[-2*sqrt(29)/21-5/21],[1]])]","[sqrt(29)/2+17/2,Matrix([[1/42+sqrt(29)/42],[-5/21+2*sqrt(29)/21],[1]])]"
11,5,"Matrix([[1, 1, 1], [1, 1, 1], [7, 9, 7]])","[0,Matrix([[-1],[0],[1]])]","[9/2-sqrt(89)/2,Matrix([[-sqrt(89)/32-5/32],[-sqrt(89)/32-5/32],[1]])]","[9/2+sqrt(89)/2,Matrix([[-5/32+sqrt(89)/32],[-5/32+sqrt(89)/32],[1]])]"
12,5,"Matrix([[1, 3, 1], [1, 3, 1], [9, 7, 9]])","[0,Matrix([[-1],[0],[1]])]","[13/2-sqrt(89)/2,Matrix([[-sqrt(89)/32-5/32],[-sqrt(89)/32-5/32],[1]])]","[sqrt(89)/2+13/2,Matrix([[-5/32+sqrt(89)/32],[-5/32+sqrt(89)/32],[1]])]"
